Mg,Al,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,proba_0,proba_1,proba_2,T90_pred
0.1429,0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0965,0.0022,0.9013,371.1945
0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0114,0.0151,0.9735,371.8565
0.1429,0.1429,0.0000,0.0000,0.1429,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0213,0.0006,0.9780,372.6800
0.1667,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0012,0.0027,0.9961,372.9654
0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0061,0.0032,0.9907,375.1249
0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0256,0.0395,0.9348,375.3793
0.1429,0.0000,0.0000,0.0000,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0096,0.0259,0.9645,375.6846
0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000,0.0660,0.0571,0.8768,376.3691
0.1429,0.0000,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0082,0.0010,0.9908,380.2745
0.0000,0.0000,0.2000,0.0000,0.0000,0.2000,0.2000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.0000,0.3515,0.6307,0.0178,381.1759
0.1667,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000,0.0880,0.0761,0.8359,381.5094
0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,0.2000,0.0000,0.2000,0.2000,0.0000,0.0000,0.0082,0.0314,0.9605,385.2847
0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0110,0.1300,0.8590,392.9568
0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0234,0.2026,0.7739,395.3635
0.0000,0.0000,0.1250,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.4517,0.3221,0.2262,397.3544
0.0000,0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.0923,0.0380,0.8697,397.9661
0.1250,0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.1512,0.0281,0.8207,399.0915
0.1250,0.0000,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000,0.0000,0.0131,0.0735,0.9134,399.7697
0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0004,0.0309,0.9687,399.7718
0.1250,0.0000,0.1250,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.0847,0.9105,0.0048,402.9656
0.1250,0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.0000,0.0000,0.4743,0.1708,0.3549,402.9842
0.1250,0.0000,0.1250,0.0000,0.0000,0.1250,0.1250,0.0000,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.3660,0.6325,0.0015,402.9930
0.0000,0.0000,0.1250,0.0000,0.0000,0.1250,0.1250,0.1250,0.1250,0.0000,0.1250,0.1250,0.1250,0.0000,0.1833,0.8155,0.0012,403.2907
0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.0000,0.0574,0.5827,0.3600,406.5050
0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0167,0.7493,0.2339,409.5794
0.0000,0.1429,0.1429,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0185,0.0008,0.9807,409.9250
0.0000,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.0012,0.0005,0.9983,410.7220
0.1667,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.1667,0.1667,0.0000,0.0000,0.0000,0.0411,0.9589,416.5280
0.1667,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.3426,0.6514,0.0060,419.1693
0.1429,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.0000,0.1429,0.1429,0.0000,0.0000,0.2511,0.2303,0.5187,419.7810
